사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Jun-19,1호선,150,서울역,1101,32,11494,9791,14744,55794,40408,103829,79785,216405,61611,153564,69995,88628,86079,82282,95659,87093,99110,91437,82354,84413,110457,86892,116523,90269,154588,100358,228216,102594,131160,77815,94323,58319,93357,50983,72385,37502,34792,20094,3382,7184,1,351,0,0,0,0
Jun-19,1호선,151,시청,64,1,2496,4320,3858,22899,7877,67242,10527,187289,13636,83325,17037,49214,22195,47512,26175,44651,33107,49731,39115,41651,49397,36891,59167,29967,77155,29407,151681,29258,70386,15831,58253,9478,57236,8404,37138,7097,14155,4343,808,1357,1,13,0,0,0,0
Jun-19,1호선,152,종각,93,1,4565,5096,4527,34181,7167,95990,11669,263686,15270,151904,20575,74001,31507,69323,40037,64042,54486,64839,61319,55225,75004,50314,85688,52477,129539,57738,223108,72438,115541,45269,101723,19323,118940,11843,98126,8442,44793,5666,3776,1535,0,1,0,0,0,0
Jun-19,1호선,153,종로3가,192,16,5539,2961,4625,15619,6491,30844,11565,79617,15967,91215,27940,80983,39850,87446,53480,88063,66813,87550,74212,77712,82320,63417,90525,56399,96184,54881,119236,58808,87453,35678,69153,16220,73675,11433,62390,9094,27132,6392,2882,2679,1,29,0,0,0,0
Jun-19,1호선,154,종로5가,45,0,2227,3554,3243,17466,5584,41994,9309,112190,14912,73919,24391,64123,35152,69974,47239,66018,59181,61719,67402,55660,69362,48462,69609,44240,81273,40420,111530,38743,64243,23585,44315,11759,37390,8163,27914,5697,10075,3659,709,1034,0,3,0,0,0,0
Jun-19,1호선,155,동대문,779,8,16707,2358,11312,8439,17906,15430,24009,29883,23732,30665,21965,33639,24673,38736,29165,37863,31993,37188,33681,34906,33669,32287,33068,29984,33119,29491,32274,30375,23463,31026,19509,23359,18120,18740,15233,17594,8502,13781,1106,4755,2,63,0,0,0,0
Jun-19,1호선,156,신설동,363,18,10264,2265,10069,9037,20645,27528,29413,71033,22535,41044,21204,26304,23813,24386,25320,22723,27200,23413,27027,22124,30213,22963,32623,23544,42025,27877,66541,31040,29846,24096,19910,16431,17813,16332,12810,16276,6073,12783,571,2885,0,9,0,0,0,0
Jun-19,1호선,157,제기동,376,8,5163,2538,9708,10323,23325,20384,33880,46490,26677,45149,30197,46074,37928,53253,43602,58781,47523,63352,52011,55050,59596,47740,60285,38559,54249,34362,51491,31064,28828,22353,18949,13663,13351,12124,8640,11642,4153,8308,350,1928,1,1,0,0,0,0
Jun-19,1호선,158,청량리(서울시립대입구),1273,17,12671,3641,18120,13234,45006,19937,60787,42154,42021,41629,37306,42798,43007,50805,47597,54792,48901,61526,51666,60348,58351,56981,63023,52544,59476,55398,55588,63840,35405,48590,28806,29540,22750,27130,15734,27660,7161,18695,492,5894,0,0,0,0,0,0
Jun-19,1호선,159,동묘앞,155,6,3667,814,3891,4410,6786,12765,9641,28777,9953,20133,12268,24069,17782,31976,24086,34203,30603,38462,35335,36545,37836,31376,37798,25152,36123,19827,33623,13841,17574,9216,9196,6116,7203,6394,4727,6723,2214,4854,241,3212,2,224,0,0,0,0
Jun-19,2호선,201,시청,94,2,1350,1617,2518,15780,5704,63040,9361,221384,13122,85025,19338,33615,26195,33411,28194,30785,34380,36365,40213,33657,45194,30689,51501,26443,80417,25555,180664,25620,70271,14928,49707,8949,45026,8977,30340,8912,12637,5682,1650,1710,2,76,0,0,0,0
Jun-19,2호선,202,을지로입구,110,1,3023,2865,3958,29404,9106,118950,16094,322699,22979,157400,31952,91503,42160,99713,49502,78444,64495,80201,74992,71446,90611,69259,103932,68613,146697,69497,287432,77015,148187,48262,139651,29492,119615,24339,85850,19660,41026,12357,4381,5311,0,1073,0,0,0,0
Jun-19,2호선,203,을지로3가,28,0,1124,2359,2568,20721,6367,61994,11447,148859,14631,76849,19913,39246,23910,32389,24736,29130,30282,32786,34159,28660,38619,27138,44384,28436,69683,33299,130124,39294,64650,26468,45785,15123,47335,12117,40559,10664,24147,7306,3906,1814,3,96,0,0,0,0
Jun-19,2호선,204,을지로4가,12,1,901,1100,1651,11264,3588,26611,6692,64939,10627,38721,13453,25489,16086,25666,18977,24371,21160,22533,24487,21804,27355,20065,29004,17677,44208,17566,62937,15395,34475,10059,18376,6335,13852,5688,10318,5706,4937,4212,896,1198,1,21,0,0,0,0
